Date,12M,24M,36M,60M
2006-01-31,1000000.0,1000000.0,1000000.0,1000000.0
2006-02-28,1018999.4234540558,1015810.908405914,1014539.2740427961,1012796.6598154028
2006-03-31,1038359.8249996981,1031871.8016364481,1029289.9385752836,1025757.0741332367
2006-04-30,1058088.0630125466,1048186.6321787674,1044255.0670617225,1038883.3384641627
2006-05-31,1078191.1261734038,1064759.4150124493,1059437.7776523114,1052177.5751343784
2006-06-30,1098676.1359439776,1081594.2285975455,1074841.2338328892,1065641.9336287687
2006-07-31,1119550.349089643,1098695.2158782664,1090468.6450840826,1079278.590938444
2006-08-31,1140821.1602501331,1116066.5853025336,1106323.2675500365,1093089.7519127305
2006-09-30,1162496.1045590728,1133712.6118576531,1122408.4047168684,1107077.6496156608
2006-10-31,1184582.860313281,1151637.638122364,1138727.4081009843,1121244.545687028
2006-11-30,1207089.2516927896,1169846.0753355196,1155283.6779474074,1135592.7307080606
2006-12-31,1230023.2515325402,1188342.4044816673,1172080.6639382541,1150124.5245717762
2007-01-31,1253392.9841467415,1207131.1773937906,1189121.8659115147,1164842.276858073
2007-02-28,1277206.728206888,1226217.0178734867,1206410.8345902832,1179748.367213625
2007-03-31,1301472.9196744598,1245604.6228288573,1223951.1723225897,1194845.2057366346
2007-04-30,1326200.1547893414,1265298.7634303875,1241746.5338319896,1210135.2333665113
2007-05-31,1351397.1931150183,1285304.2862851014,1259800.626979065,1225620.9222785358
2007-06-30,1377072.960641633,1305626.1146292838,1278117.213534,1241304.7762835743
2007-07-31,1403236.5529479939,1326269.2495400566,1296700.1099603856,1257189.3312329098
2007-08-31,1429897.2384236623,1347238.7711661146,1315553.1882104236,1273277.1554282513
2007-09-30,1457064.4615522586,1368539.839977918,1334680.376531689,1289570.8500369901
2007-10-31,1484747.8462571455,1390177.698037653,1354085.6602856256,1306073.0495127733
2007-11-30,1512957.1993106825,1412157.6702892706,1373773.0827779388,1322786.422021454
2007-12-31,1541702.5138082486,1434485.165868923,1393746.746101064,1339713.6698724963
2008-01-31,1570993.9727082737,1457165.679436119,1414010.8119888827,1356857.5299558996
2008-02-29,1600841.9524395277,1480204.7925259247,1434569.5026838656,1374220.774184713
2008-03-31,1631257.0265769437,1503608.1749225468,1455427.1018168242,1391806.2099432142
2008-04-30,1662249.969587283,1527381.5860546308,1476587.9552994515,1409616.6805408227
2008-05-31,1693831.7606459633,1551530.87641262,1498056.472229842,1427655.0656718207
2008-06-30,1726013.5875264048,1576061.9889885276,1519837.1258111761,1445924.2818809596
2008-07-31,1758806.8505632728,1600980.9607384675,1541934.4542837604,1464427.2830350206
2008-08-31,1792223.1666910187,1626293.9240683154,1564353.0618706213,1483167.0608004145
2008-09-30,1826274.3735591501,1652007.108342854,1587097.6197368454,1502146.6451268883
2008-10-31,1860972.533725691,1678126.8414187816,1610172.8669628687,1521369.1047374257
2008-11-30,1896329.9389303126,1704659.5512019596,1633583.6115319165,1540837.5476244143
2008-12-31,1932359.1144486533,1731611.7672292802,1657334.7313317996,1560555.1215521633
2009-01-31,1969072.8235293678,1758990.1222755448,1681431.1751712766,1580525.014565851
2009-02-28,2006484.0719154752,1786801.353985751,1705877.9638111922,1600750.4555069846
2009-03-31,2044606.1124516155,1815052.3065331825,1730680.1910106102,1621234.7145354587
2009-04-30,2083452.4497788348,1843749.9323037216,1755843.0245881523,1641981.1036582906
2009-05-31,2123036.845118573,1872901.2936067856,1781371.7074987714,1662992.9772651256
2009-06-30,2163373.3211475434,1902513.5644133203,1807271.5589261793,1684273.732670591
2009-07-31,2204476.166965232,1932594.0321212683,1833547.9753911586,1705826.810663595
2009-08-31,2246359.9431557786,1963150.0993489535,1860206.4318759847,1727655.6960636508
2009-09-30,2289039.486946024,1994189.2857568203,1887252.4829652014,1749763.9182843203
2009-10-31,2332529.917461566,2025719.2298979766,1914691.7640029797,1772155.051903871
2009-11-30,2376846.6410826724,2057747.6910979918,1942529.9922673039,1794832.7172432323
2009-12-31,2422005.3569019525,2090282.5513644232,1970772.9681612288,1817800.5809513489
2010-01-31,2468022.062285724,2123331.8173265257,1999426.5764214594,1841062.356598025
2010-02-28,2514913.0585410427,2156903.6222056383,2028496.787344501,1864621.8052743538
2010-03-31,2562694.9566903985,2191006.227816716,2057989.6580306336,1888482.7362008318
2010-04-30,2611384.683356133,2225648.026601513,2087911.3336459815,1912649.007343255
2010-05-31,2660999.486756651,2260837.5436939127,2118268.04870292,1937124.5260364942
2010-06-30,2711556.942816566,2296583.439017908,2149066.128359111,1961913.2496162567
2010-07-31,2763074.9613929233,2332894.509418759,2180311.9897354147,1987019.1860589273
2010-08-31,2815571.792619726,2369779.6908278386,2212012.1432529716,2012446.394629602
2010-09-30,2869066.0333730034,2407248.060461713,2244173.1939897197,2038198.986538411
2010-10-31,2923576.6338587054,2445308.839055987,2276801.843056633,2064281.1256052416
2010-11-30,2979122.9043257697,2483971.393134473,2309904.8889939766,2090697.0289329684
2010-12-31,3035724.5219067317,2523245.2373142326,2343489.229187855,2117450.967589297
2011-01-31,3093401.537588299,2563140.0366470665,2377561.861307358,2144547.267297333
2011-02-28,3152174.383314366,2603665.608998024,2412129.884762606,2171990.3091349886
2011-03-31,3212063.8792239833,2644831.92746152,2447200.5021839878,2199784.5302433404
2011-04-30,3273091.241026837,2686649.1228156504,2482781.020922909,2227934.42454405
2011-05-31,3335278.0875188666,2729127.486015318,2518878.85457436,2256444.543465966
2011-06-30,3398646.4482406713,2772277.4707247685,2555501.524521621,2285319.4966810215
2011-07-31,3463218.7712814184,2816109.695890176,2592656.661503424,2314563.9528495558
2011-08-31,3529017.931231029,2860634.948352902,2630352.007203903,2344182.6403751657
2011-09-30,3596067.237283443,2905864.1855040663,2668595.4158656597,2374180.348169219
2011-10-31,3664390.441493848,2951808.537981096,2707394.8559262794,2404561.9264251553
2011-11-30,3734011.7471927837,2998479.31240691,2746758.411678648,2435332.2874026876
2011-12-31,3804955.817560118,3045887.994172404,2786694.2849553996,2466496.4062220464
2012-01-31,3877247.7843619166,3094046.2502629366,2827210.79683786,2498059.3216683837
2012-02-29,3950913.256853308,3142965.9321295056,2868316.389389837,2530026.1370064695
2012-03-31,4025978.330850506,3192659.078605313,2910019.6274166196,2562402.0208058194
2012-04-30,4102469.5979751884,3243137.918868451,2952329.2002495453,2595192.207776372
2012-05-31,4180414.155074509,3294414.875451426,2995253.9235565225,2628401.99961487
2012-06-30,4259839.613820098,3346502.5672982694,3038802.7411788707,2662036.7658620663
2012-07-31,4340774.110489428,3399413.812869978,3082984.72699487,2696101.944770898
2012-08-31,4423246.315933019,3453161.6332990634,3127809.086810404,2730603.044185777
2012-09-30,4507285.445731023,3507759.2555939713,3173285.160277088,2765545.6424331255
2012-10-31,4592921.270542769,3563220.1158941644,3219422.422838295,2800935.389223312
2012-11-30,4680184.126652951,3619557.862776677,3266230.487703463,2836778.006564126
2012-12-31,4769104.926718181,3676786.3606149447,3313719.1078511192,2873079.289685943
2013-01-31,4859715.170717724,3734919.692990741,3361898.178061017,2909845.1079787333
2013-02-28,4952046.957112289,3793972.166160062,3410777.7369758226,2947081.4059410514
2013-03-31,5046132.994214834,3853958.3125738055,3460367.969192782,2984794.2041411777
2013-04-30,5142006.611777404,3914892.8944541207,3510679.2073857896,3022989.6001905585
2013-05-31,5239701.772798117,3976790.907427298,3561721.9344583177,3061673.7697296976
2013-06-30,5339253.085552475,4039667.5842141025,3613506.785727645,3100852.9674266702
2013-07-31,5440695.815853261,4103538.3983784504,3666044.5511408425,3140533.5279884115
2013-08-31,5544065.899543367,4168419.068135363,3719346.1775229783,3180721.8671849463
2013-09-30,5649399.955225983,4234325.5602191165,3773422.770858011,3221424.4828867246
2013-10-31,5756735.297236645,4301274.093812562,3828285.598602843,3262647.9561152356
2013-11-30,5866109.948861754,4369281.144538563,3883946.092035019,3304398.9521070616
2013-12-31,5977562.655808228,4438363.448514548,3940415.8486345634,3346684.2213915493
2014-01-31,6091132.899929079,4508538.006471168,3997706.6345004383,3389510.6008822727
2014-02-28,6206860.913209762,4579822.087936065,4055830.3868021443,3432885.0149824647
2014-03-31,6324787.692020263,4652233.235483804,4114799.2162669604,3476814.4767045896
2014-04-30,6444955.011637956,4725789.269052987,4174625.4097033483,3521306.088804246
2014-05-31,6567405.441046404,4800508.290331635,4235321.432561045,3566367.0449285805
2014-06-30,6692182.358015315,4876408.687211898,4296899.931528377,3612004.630779395
2014-07-31,6819329.96446701,4953509.138315208,4359373.73716734,3658226.225291138
2014-08-31,6948893.302134849,5031828.617588968,4422755.866586985,3705039.301823974
2014-09-30,7080918.268519162,5111386.398975924,4487059.526155677,3752451.4293721127
2014-10-31,7215451.633146318,5192202.061157366,4552298.114252794,3800470.2737876098
2014-11-30,7352541.054136722,5274295.492371323,4618485.224060418,3849103.5990198203
2014-12-31,7492235.095087595,5357686.895306931,4685634.646395637,3898359.2683707196
2015-01-31,7634583.242276503,5442396.792076195,4753760.372584003,3948245.245766282
2015-02-28,7779635.922191753,5528446.02926435,4822876.597374787,3998769.5970441345
2015-03-31,7927444.519395858,5615855.783060088,4892997.721898607,4049940.491257684
2015-04-30,8078061.394728394,5704647.564466873,4964138.356668068,4101766.201996933
2015-05-31,8231539.903854699,5794843.224596678,5036313.32462202,4154255.108726205
2015-06-30,8387934.416166992,5886464.960047407,5109537.664214085,4207415.698138974
2015-07-31,8547300.334044598,5979535.318365339,5183826.632546082,4261256.565530044
2015-08-31,8709694.112480104,6074077.2035939405,5259195.708547014,4315786.416185283
2015-09-30,8875173.279078411,6170113.8819104135,5335660.596198277,4371014.066789142
2015-10-31,9043796.454435742,6267668.987351358,5413237.227805751,4426948.446850183
2015-11-30,9215623.372905854,6366766.527628957,5491941.767319485,4483598.600144851
2015-12-31,9390714.903760787,6467430.890039138,5571790.613701621,4540973.68617972
2016-01-31,9569133.072753651,6569686.847463124,5652800.404343308,4599082.981672458
2016-02-29,9750941.084091108,6673559.564463901,5734988.018531284,4657935.882051729
2016-03-31,9936203.342823304,6779074.603479051,5818370.580964862,4717541.902976303
2016-04-30,10124985.47765921,6886257.9311115155,5902965.465324054,4777910.681873599
2016-05-31,10317354.364215422,6995135.924519818,5988790.29788956,4839051.979497914
2016-06-30,10513378.1487067,7105735.3779093195,6075862.961215416,4900975.681508601
2016-07-31,10713126.272086598,7218083.509126105,6164201.597855002,4963691.800068428
2016-08-31,10916669.494646741,7332207.966355136,6253824.614141257,5027210.475462408
2016-09-30,11124079.921083508,7448136.83492429,6344750.684021841,5091541.97773733
2016-10-31,11335431.026040934,7565898.644215992,6436998.752950052,5156696.708362278
2016-11-30,11550797.680138927,7685522.374688119,6530588.04183233,5222685.201910397
2016-12-31,11770256.176496012,7807037.465005914,6625538.051033136,5289518.127762183
2017-01-31,11993884.257755976,7930473.819286662,6721868.56443808,5357206.291830561
2017-02-28,12221761.143628016,8055861.8144589,6819599.653576102,5425760.638308052
2017-03-31,12453967.558950132,8183232.30773801,6918751.681801602,5495192.251436283
2017-04-30,12690585.762285698,8312616.644219972,7019345.308537372,5565512.35729815
2017-05-31,12931699.575063374,8444046.664595209,7121401.493579212,5636732.325632916
2017-06-30,13177394.411270639,8577554.712984387,7224941.501463137,5708863.671674524
2017-07-31,13427757.307711476,8713173.644898098,7329986.905896081,5781918.058013455
2017-08-31,13682876.95483898,8850936.835322406,7436559.594251011,5855907.296482386
2017-09-30,13942843.728173709,8990878.186932217,7544681.77212741,5930843.350066007
2017-10-31,14207749.720319007,9133032.138434533,7654375.967978059,6006738.334835245
2017-11-30,14477688.77358459,9277433.67304359,7765665.0378030855,6083604.521906272
2017-12-31,14752756.513229953,9424118.327090023,7878572.169912265,6161454.339424551
2018-01-31,15033050.381339388,9573122.198766137,7993120.889756566,6240300.3745743055
2018-02-28,15318669.67134061,9724481.95700945,8109335.064829935,6320155.375613663
2018-03-31,15609715.563179214,9878234.85052669,8227238.909642353,6401032.25393588
2018-04-30,15906291.159161419,10034418.716960473,8346856.990765197,6482944.086156919
2018-05-31,16208501.520477831,10193071.992200924,8468214.23194996,6565904.1162297465
2018-06-30,16516453.7044211,10354233.7198445,8591335.919321388,6649925.757585691
2018-07-31,16830256.802310705,10517943.560802387,8716247.706646118,6735022.5953032
2018-08-31,17150021.97813831,10684241.803060805,8842975.62067794,6821208.388304346
2018-09-30,17475862.507947322,10853169.371595638,8971546.06658074,6908497.071579449
2018-10-31,17807893.81996067,11024767.838443806,9101985.833430327,6996902.758440157
