Window,End Fund,CAGR,Volatility,Sharpe,Max DD,Avg DD,Win Rate
12M,"$86,261,700",25.46%,22.12%,1.06,-33.05%,-5.45%,57.99%
24M,"$41,067,335",20.81%,21.39%,0.88,-33.29%,-5.70%,58.26%
36M,"$30,529,111",19.00%,21.16%,0.80,-33.47%,-5.67%,58.26%
60M,"$20,325,153",16.56%,20.91%,0.70,-33.94%,-5.66%,57.85%
