Window,End Fund,CAGR,Volatility,Sharpe,Max DD,Avg DD,Win Rate
12M,"$6,069,245",41.85%,23.72%,1.68,-24.18%,-5.45%,57.99%
24M,"$5,225,007",37.79%,23.39%,1.53,-24.73%,-5.70%,58.26%
36M,"$4,751,415",35.27%,23.10%,1.44,-24.73%,-5.66%,58.26%
60M,"$4,627,370",34.58%,23.05%,1.41,-24.73%,-5.66%,57.85%
