Date,NeuralNetwork
2006-01-02,0.0
2006-01-03,0.0
2006-01-04,-0.0012468095508213484
2006-01-05,0.0
2006-01-06,-0.006185530582456966
2006-01-09,-0.003196300598025892
2006-01-10,-0.0039109965213371956
2006-01-11,-0.0028974289045893276
2006-01-12,0.0
2006-01-13,0.0
2006-01-16,0.0
2006-01-17,-0.005299525536737293
2006-01-18,-0.03936450749789133
2006-01-19,-0.029814031819191844
2006-01-20,-0.032629742982349996
2006-01-23,-0.04816170946997589
2006-01-24,-0.035916050375557895
2006-01-25,-0.028484089239982135
2006-02-03,-0.03409196196185493
2006-02-06,-0.01637973349424915
2006-02-07,-0.01455547847010974
2006-02-08,-0.023199369518437707
2006-02-09,-0.01546300842212367
2006-02-10,-0.017927306123907583
2006-02-13,-0.023828976343378216
2006-02-14,-0.01712601429836036
2006-02-15,-0.02086637472279318
2006-02-16,-0.0036656919498094798
2006-02-17,-0.0030107344849338302
2006-02-20,0.0
2006-02-21,-0.007491753051180328
2006-02-22,-0.027669524883322527
2006-02-23,-0.0359061806003812
2006-02-24,-0.02040815800521345
2006-02-27,-0.016036510120212788
2006-03-01,-0.006238924831656778
2006-03-02,-0.004131294601232738
2006-03-03,-0.012596236575506348
2006-03-06,-0.0053647159442064
2006-03-07,-0.01421753724740038
2006-03-08,-0.021676988392548502
2006-03-09,-0.01804696568679598
2006-03-10,-0.020221853523641697
2006-03-13,-0.009755655299815147
2006-03-14,-0.021761441266661907
2006-03-15,-0.013233731451395614
2006-03-16,-0.010256588562270963
2006-03-17,-0.002899559016580344
2006-03-20,-0.008354489537991228
2006-03-21,-0.020587175771844213
2006-03-22,-0.024061795317514623
2006-03-23,-0.02870706773427545
2006-03-24,-0.017778446303804207
2006-03-27,-0.011635192094064162
2006-03-28,-0.011281283077690829
2006-03-29,-0.0029111486300712475
2006-03-30,0.0
2006-03-31,0.0
2006-04-03,0.0
2006-04-04,-0.0008308685724272014
2006-04-06,0.0
2006-04-07,-0.001254561658511788
2006-04-10,-0.002477848458823928
2006-04-11,-0.0072807601626284635
2006-04-12,-0.004651283771754833
2006-04-13,-0.00958191936386299
2006-04-14,0.0
2006-04-17,0.0
2006-04-18,-0.0007254505241677256
2006-04-19,0.0
2006-04-20,0.0
2006-04-21,0.0
2006-04-24,0.0
2006-04-25,-0.011044729395884745
2006-04-26,0.0
2006-04-27,-0.00933563052889863
2006-04-28,-0.004415349084319287
2006-05-02,0.0
2006-05-03,0.0
2006-05-04,0.0
2006-05-05,0.0
2006-05-08,0.0
2006-05-09,-0.015945208569615676
2006-05-10,-0.02103396284679737
2006-05-11,-0.014347540037050854
2006-05-12,-0.027898119338375604
2006-05-15,-0.04235026936429054
2006-05-16,-0.059894850042201075
2006-05-17,-0.056685028861160114
2006-05-18,-0.12360588640791081
2006-05-19,-0.12255498017240751
2006-05-22,-0.08236851300248471
2006-05-23,-0.09678953827208925
2006-05-24,-0.09072375843879044
2006-05-25,-0.09596590782234082
2006-05-26,-0.09076999468342761
2006-05-29,-0.14439131113761905
2006-05-30,-0.08967706012498455
2006-06-01,-0.08832927944068858
2006-06-02,-0.06324682583187857
2006-06-05,-0.09515668400397947
2006-06-06,-0.08953935612793906
2006-06-07,-0.10950729766038192
2006-06-08,-0.14297479156442972
2006-06-09,-0.12270778156163875
2006-06-12,-0.13022264450110477
2006-06-13,-0.15323863097084867
2006-06-14,-0.12825800556807232
2006-06-15,-0.13665289833678196
2006-06-16,-0.11163300656885222
2006-06-19,-0.11099415788045996
2006-06-20,-0.14205115356221154
2006-06-21,-0.15059338019783441
2006-06-22,-0.12524356903481015
2006-06-23,-0.12702709101838394
2006-06-26,-0.1176127405640035
2006-06-27,-0.1128847877698882
2006-06-28,-0.11598028642919078
2006-06-29,-0.10917189115318626
2006-06-30,-0.0978872491961923
2006-07-03,-0.09874856108423491
2006-07-04,-0.09584231720800906
2006-07-05,-0.10922510359766868
2006-07-06,-0.10999790663994158
2006-07-07,-0.10635074425244573
2006-07-10,-0.10533671333985728
2006-07-11,-0.11108337413309655
2006-07-12,-0.1115783987305049
2006-07-13,-0.12045240118189704
2006-07-14,-0.14336614782005186
2006-07-17,-0.16448877726247946
2006-07-18,-0.16440746991747057
2006-07-19,-0.15709335630312282
2006-07-20,-0.1327071517330246
2006-07-21,-0.1367416263418182
2006-07-24,-0.14440861484780543
2006-07-25,-0.13559566651956845
2006-07-26,-0.17491420867851248
2006-07-27,-0.1651230974338157
2006-07-28,-0.11701952365386215
2006-07-31,-0.11948916992049252
2006-08-01,-0.12145921030287199
2006-08-02,-0.1162962336057618
2006-08-03,-0.11685914952736265
2006-08-04,-0.11760259313981247
2006-08-07,-0.12263392658838634
2006-08-08,-0.10770009140314474
2006-08-09,-0.09730032607955974
2006-08-10,-0.0905123408866878
2006-08-11,-0.08898087818820055
2006-08-14,-0.08245321477946133
2006-08-15,-0.08456497246408445
2006-08-16,-0.07797328524942848
2006-08-17,-0.06109835692236831
2006-08-18,-0.06108249158851742
2006-08-21,-0.09172713759764628
2006-08-22,-0.07832870316539498
2006-08-23,-0.08489291516836606
2006-08-24,-0.08773292035894542
2006-08-25,-0.09104246214697698
2006-08-28,-0.10612335541810947
2006-08-29,-0.10134930206314652
2006-08-30,-0.0837839086407729
2006-08-31,-0.08184343572311548
2006-09-01,-0.07053803122608726
2006-09-04,-0.057960037992197955
2006-09-05,-0.05746089175447122
2006-09-06,-0.06302958683045956
2006-09-07,-0.06497676916453743
2006-09-08,-0.06407887798720902
2006-09-11,-0.06517949018865543
2006-09-12,-0.07078451465709734
2006-09-13,-0.06738127479117118
2006-09-14,-0.07177383738298015
2006-09-15,-0.056368128871843504
2006-09-18,-0.026304269947941106
2006-09-19,-0.03456282611977546
2006-09-20,-0.03744996484460816
2006-09-21,-0.04318581339844085
2006-09-22,-0.044387756741200546
2006-09-25,-0.043944291048993
2006-09-26,-0.041496227482174186
2006-09-27,-0.03496123482938274
2006-09-28,-0.0446516694555541
2006-09-29,-0.047544968820193656
2006-10-02,-0.03922846038693173
2006-10-03,-0.037501547029745286
2006-10-04,-0.04327634891969723
2006-10-05,-0.023529826864085557
2006-10-09,-0.03622635911048866
2006-10-11,-0.023529867178630925
2006-10-12,-0.027544693475020754
2006-10-13,-0.019165492263205963
2006-10-16,-0.0046368205937817875
2006-10-17,-0.021821829102504853
2006-10-18,-0.029658826559076035
2006-10-19,-0.03400326163022582
2006-10-20,-0.03018669362480686
2006-10-23,-0.02889120068094908
2006-10-24,-0.023046799835149345
2006-10-25,-0.023664410093080068
2006-10-26,-0.04578717858711878
2006-10-27,-0.021416516660131113
2006-10-30,-0.035023816700479826
2006-10-31,-0.029618449032037475
2006-11-01,-0.03294446716088717
2006-11-02,-0.025664221574824397
