Date,XGBoost
2006-01-02,0.0
2006-01-03,0.0
2006-01-04,0.0
2006-01-05,0.0
2006-01-06,-0.0015459289972910017
2006-01-09,-0.004904832480581045
2006-01-10,-0.003818547704370956
2006-01-11,0.0
2006-01-12,0.0
2006-01-13,0.0
2006-01-16,0.0
2006-01-17,-0.006300245937155169
2006-01-18,-0.03577953857963212
2006-01-19,-0.03337007752083021
2006-01-20,-0.03638788585848407
2006-01-23,-0.04929841158294768
2006-01-24,-0.03821494981388174
2006-01-25,-0.0268057766972839
2006-02-03,-0.02226500037788104
2006-02-06,-0.00502706952005505
2006-02-07,-0.004671968569594065
2006-02-08,-0.01329775750002149
2006-02-09,-0.011759157933560527
2006-02-10,-0.013968110966267155
2006-02-13,-0.023813116036922044
2006-02-14,-0.017917503112850786
2006-02-15,-0.02338988871694392
2006-02-16,-0.012149220934749239
2006-02-17,-0.013109246155639354
2006-02-20,-0.007410529602467908
2006-02-21,-0.014533073200447721
2006-02-22,-0.025898643614059358
2006-02-23,-0.031031282360540313
2006-02-24,-0.017564399162232514
2006-02-27,-0.015658442688448515
2006-03-01,-0.005627000984627317
2006-03-02,-0.0011785329905402708
2006-03-03,-0.009557658540237046
2006-03-06,-0.00013854736500573672
2006-03-07,-0.006968721687730217
2006-03-08,-0.013549411229037633
2006-03-09,-0.010275211521617589
2006-03-10,-0.00994577898107707
2006-03-13,0.0
2006-03-14,-0.013457457354881464
2006-03-15,-0.0009016458740385147
2006-03-16,0.0
2006-03-17,0.0
2006-03-20,-0.0046389436840408305
2006-03-21,-0.01884507301662741
2006-03-22,-0.02776645901352892
2006-03-23,-0.03094993859577011
2006-03-24,-0.02556838783501003
2006-03-27,-0.018416850624448755
2006-03-28,-0.014004548404612738
2006-03-29,-0.003015393768221575
2006-03-30,0.0
2006-03-31,0.0
2006-04-03,0.0
2006-04-04,0.0
2006-04-06,0.0
2006-04-07,-0.0027553884780352478
2006-04-10,0.0
2006-04-11,-0.0038747535684325873
2006-04-12,0.0
2006-04-13,0.0
2006-04-14,0.0
2006-04-17,0.0
2006-04-18,-0.011491098757586915
2006-04-19,-0.005789953118056079
2006-04-20,-0.004560311754163937
2006-04-21,-0.007245994852735915
2006-04-24,-0.0017243372619096808
2006-04-25,0.0
2006-04-26,0.0
2006-04-27,-0.007016884686278146
2006-04-28,-0.007357225547987789
2006-05-02,0.0
2006-05-03,0.0
2006-05-04,0.0
2006-05-05,0.0
2006-05-08,0.0
2006-05-09,-0.01232106416291845
2006-05-10,-0.025235781411935387
2006-05-11,-0.022022145766087853
2006-05-12,-0.030477867642807355
2006-05-15,-0.05218359951776774
2006-05-16,-0.07522972752223145
2006-05-17,-0.06098960781141349
2006-05-18,-0.12139043958077278
2006-05-19,-0.11826439238048081
2006-05-22,-0.08799662723600266
2006-05-23,-0.10289682611257223
2006-05-24,-0.08833948732650498
2006-05-25,-0.08809206100069855
2006-05-26,-0.07963502973055048
2006-05-29,-0.12517384656635244
2006-05-30,-0.07629738399591879
2006-06-01,-0.0739193060360761
2006-06-02,-0.05101799966291898
2006-06-05,-0.08218028384139164
2006-06-06,-0.07637479963304339
2006-06-07,-0.09677599123014424
2006-06-08,-0.13394639804368402
2006-06-09,-0.11593838810135126
2006-06-12,-0.11773739866862165
2006-06-13,-0.13875346846651337
2006-06-14,-0.12148597438165942
2006-06-15,-0.12343983581635143
2006-06-16,-0.09926159801473589
2006-06-19,-0.10161845795632052
2006-06-20,-0.13482151048241242
2006-06-21,-0.1410052427977745
2006-06-22,-0.11053744837927093
2006-06-23,-0.11609566777734559
2006-06-26,-0.107304237266315
2006-06-27,-0.10124500331197062
2006-06-28,-0.10913476129140298
2006-06-29,-0.10027478264233702
2006-06-30,-0.08133309524821408
2006-07-03,-0.08036397979523469
2006-07-04,-0.07825304154194246
2006-07-05,-0.0943797747918027
2006-07-06,-0.0948403108753435
2006-07-07,-0.088788939833638
2006-07-10,-0.08748101333837466
2006-07-11,-0.09333556880782734
2006-07-12,-0.09261457261506734
2006-07-13,-0.09917507220607968
2006-07-14,-0.12018045235925323
2006-07-17,-0.1447257180569652
2006-07-18,-0.13602997265904915
2006-07-19,-0.13777955565509048
2006-07-20,-0.11810827984711891
2006-07-21,-0.12110507505327217
2006-07-24,-0.12480685609713604
2006-07-25,-0.11665948002030957
2006-07-26,-0.15274321989139317
2006-07-27,-0.14220773485281546
2006-07-28,-0.09940740582335006
2006-07-31,-0.10229826810130338
2006-08-01,-0.10095306041865659
2006-08-02,-0.10179337704655367
2006-08-03,-0.09654488958867669
2006-08-04,-0.09940119083860544
2006-08-07,-0.10477430284667355
2006-08-08,-0.08914574076292325
2006-08-09,-0.07324572430154086
2006-08-10,-0.06740202019015473
2006-08-11,-0.06944287299761787
2006-08-14,-0.06482344227834658
2006-08-15,-0.06446526090053994
2006-08-16,-0.05727054722125835
2006-08-17,-0.03792801233936849
2006-08-18,-0.03876263382342371
2006-08-21,-0.07018745249783254
2006-08-22,-0.054747857467494665
2006-08-23,-0.05660523464985279
2006-08-24,-0.05909231736507481
2006-08-25,-0.06270318393796692
2006-08-28,-0.07572495147155689
2006-08-29,-0.06704152918141482
2006-08-30,-0.04890735155258519
2006-08-31,-0.050671745580550764
2006-09-01,-0.03790536390649468
2006-09-04,-0.022213726356207553
2006-09-05,-0.02307349516960644
2006-09-06,-0.025168909255900873
2006-09-07,-0.023997317058658707
2006-09-08,-0.02745438817787993
2006-09-11,-0.029024085534306687
2006-09-12,-0.039234323160765694
2006-09-13,-0.03788867789032746
2006-09-14,-0.04297426419212236
2006-09-15,-0.031213463486901016
2006-09-18,-0.003421133424170053
2006-09-19,-0.003973345386411475
2006-09-20,-0.0038754624546060157
2006-09-21,-0.0007319725665344556
2006-09-22,-0.003821000788692186
2006-09-25,-0.0035349652996619074
2006-09-26,-0.0014516625969355212
2006-09-27,0.0
2006-09-28,-0.010865058305825959
2006-09-29,-0.01483754901019052
2006-10-02,0.0
2006-10-03,-0.0028206138722945973
2006-10-04,-0.016205628375063452
2006-10-05,-0.0009620950138763407
2006-10-09,-0.013386085186357755
2006-10-11,0.0
2006-10-12,-0.0026396009491563843
2006-10-13,0.0
2006-10-16,0.0
2006-10-17,-0.007845470150190548
2006-10-18,-0.01916333909761392
2006-10-19,-0.02427797261556519
2006-10-20,-0.019507200853356665
2006-10-23,-0.016626346434210793
2006-10-24,-0.013003465120521973
2006-10-25,-0.011153300885791917
2006-10-26,-0.024271811392632348
2006-10-27,-0.003388867051536515
2006-10-30,-0.02041652287939344
2006-10-31,-0.013529045744009482
2006-11-01,-0.016226803643209498
2006-11-02,-0.011895341141294757
2006-11-03,-0.004249657294472575
2006-11-06,-0.010409620891513649
2006-11-07,-0.005047036090075618
2006-11-08,-0.008765248090614852
