Model,Initial Fund,End Fund,Start Date,End Date,CAGR,Volatility,Sharpe,Max Drawdown
BM3 12M/1M,1000000,25283806.10251705,2006/01/02,2025/12/31,0.17533408687373253,0.2031003628347314,0.8632879056765,-0.5456160043560094
BM3 24M/1M,1000000,16553932.310653225,2006/01/02,2025/12/31,0.15069903574993804,0.20433949098744092,0.7374934478974516,-0.560281395993893
BM3 36M/1M,1000000,20598552.79449254,2006/01/02,2025/12/31,0.16334847752239545,0.2033317218693492,0.8033595349541919,-0.5738033833357654
BM3 60M/1M,1000000,18436210.59599895,2006/01/02,2025/12/31,0.15691356656935174,0.2038982413581455,0.7695680233638427,-0.5852252172207455
